title,summary,relevant
"Cobrança de sobrestadia de contêineres Novos entendimentos regulatórios da ANTAQ","Migalhas Marítimas Cobrança de sobrestadia de contêineres Novos entendimentos regulatórios da ANTAQ Bernardo Mendes Vianna, Bernardo da Motta Santana e Frederico Moreira Alcântara de Siqueira quinta-feira, 18 de setembro de 2025 Atualizado em 25 de setembro de 2025 1321 A crescente movimentação de contêineres nos portos brasileiros, impulsionada pelo avanço das operações marítimas, trouxe consigo",True,2025-10-14T19:18:03.722160
"Resolução de disputas sobre demurrage e o acórdão 52125 da ANTAQ - primeiras impressões","Migalhas Marítimas Resolução de disputas sobre demurrage e o acórdão 52125 da ANTAQ - primeiras impressões Sérgio Ferrari quinta-feira, 14 de agosto de 2025 Atualizado em 13 de agosto de 2025 0947 Começo este texto me mantendo fiel ao propósito da coluna Migalhas Marítimas, de propagar o conhecimento do Direito Marítimo de modo simples, explicando inicialmente o conceito de demurrage e sua context",True,2025-10-14T19:18:06.281100
"Breves reflexões sobre entendimento firmado pela ANTAQ no acórdão 52125 e a cobrança de sobrestadia de contêineres","Migalhas Marítimas Breves reflexões sobre entendimento firmado pela ANTAQ no acórdão 52125 e a cobrança de sobrestadia de contêineres Paula Serra Casasco quinta-feira, 9 de outubro de 2025 Atualizado em 13 de outubro de 2025 0813 O presente tema foi objeto de excelente abordagem em artigo recentemente publicado por Sérgio Ferrari, nesta mesma coluna, em 14825, sob o título Resolução de disputas so",True,2025-10-14T19:18:15.771186
"Operação da PF mira lavagem de recursos do tráfico com uso de bets","Geral Operação da PF mira lavagem de recursos do tráfico com uso de bets Foram cumpridos mandados de prisão e apreensão de carros de luxo Guilherme Jeronymo - Repórter da Agência Brasil Publicado em 14102025 - 2010 São Paulo PFDivulgação Versão em áudio A Operação Narco Bet, realizada nesta terça-feira 14 pela Polícia Federal, resultou em 11 prisões, mais de uma dezena de veículos de luxo apreend",False,2025-10-15T11:20:50.222981
"Operação da PF mira lavagem de recursos do tráfico com uso de bets","Geral Operação da PF mira lavagem de recursos do tráfico com uso de bets Foram cumpridos mandados de prisão e apreensão de carros de luxo Guilherme Jeronymo - Repórter da Agência Brasil Publicado em 14102025 - 2010 São Paulo PFDivulgação Versão em áudio A Operação Narco Bet, realizada nesta terça-feira 14 pela Polícia Federal, resultou em 11 prisões, mais de uma dezena de veículos de luxo apreend",False,2025-10-15T11:21:19.595004
"Tartaruga-cabeçuda encontrada ferida em maio é devolvida ao mar na Paraíba","Ibama participou de ação de soltura junto com ONGs; animal passou meses em reabilitação no Aquário Paraíba",False,2025-10-15T11:48:36.766361
"Ibama realiza vistoria em área de recuperação da Mata Atlântica em Sergipe","Técnicos promoveram caracterização ambiental e medidas necessárias para regeneração em manguezais na região norte do estado",False,2025-10-15T11:53:38.043113
"Funbio abre seleção de empresa para projetos e fiscalização da obra do novo Cetas do Ibama no ES","Funbio abre seleção de empresa para projetos e fiscalização da obra do novo Cetas do Ibama no ES",False,2025-10-15T11:53:39.928120
"Ibama inaugura centro para reabilitação de animais silvestres no Pará","O Cetas Benevides, primeiro do estado, dispõe de recinto especial para tratamento e reabilitação de peixes-boi",False,2025-10-15T11:53:41.781285
"Ibama promove treinamento do projeto Praia Sem Óleo no Maranhão","Capacitação é destinada a gestores de órgãos ambientais dos estados litorâneos impactados pelo grande derramamento de óleo de 2019",False,2025-10-15T11:53:43.436269
"Mais de 30 pessoas são presas na maior operação do Ibama contra o tráfico de fauna","Em feira de Fortaleza CE, agentes ambientais federais apreenderam 271 animais silvestres e aplicaram R 465 mil em multas",False,2025-10-15T11:53:45.336190
